Bezirk;Bez-Name;Ortsteil;Ortst-Name;Geschl;Staatsangeh;Altersgr;Hufigkeit;;;
1;Mitte;102;Moabit;1;D;75_80;770;;;
1;Mitte;102;Moabit;1;D;80_85;362;;;
1;Mitte;102;Moabit;1;D;85_90;169;;;
1;Mitte;102;Moabit;1;D;90_95;38;;;
1;Mitte;102;Moabit;1;D;95_und_alter;3;
1;Mitte;102;Moabit;2;A;00_05;327;;;
1;Mitte;102;Moabit;2;A;05_10;335;;;
1;Mitte;102;Moabit;2;A;10_15;276;;;
1;Mitte;102;Moabit;2;A;15_20;360;;;
1;Mitte;102;Moabit;2;A;20_25;1074;;;
1;Mitte;102;Moabit;2;A;25_30;1619;;;
1;Mitte;102;Moabit;2;A;30_35;1436;;;
1;Mitte;102;Moabit;2;A;35_40;1032;;;
1;Mitte;102;Moabit;2;A;40_45;937;;;
1;Mitte;102;Moabit;2;A;45_50;741;;;
1;Mitte;102;Moabit;2;A;50_55;665;;;
1;Mitte;102;Moabit;2;A;55_60;524;;;
1;Mitte;102;Moabit;2;A;60_65;454;;;
1;Mitte;102;Moabit;2;A;65_70;472;;;
1;Mitte;102;Moabit;2;A;70_75;300;;;
1;Mitte;102;Moabit;2;A;75_80;180;;;
1;Mitte;102;Moabit;2;A;80_85;93;;;
1;Mitte;102;Moabit;2;A;85_90;30;;;
1;Mitte;102;Moabit;2;A;90_95;9;;;
1;Mitte;102;Moabit;2;A;95_und_alter;6;
1;Mitte;102;Moabit;2;D;00_05;1528;;;
1;Mitte;102;Moabit;2;D;05_10;1221;;;
1;Mitte;102;Moabit;2;D;10_15;1107;;;
1;Mitte;102;Moabit;2;D;15_20;1164;;;
1;Mitte;102;Moabit;2;D;20_25;2165;;;
1;Mitte;102;Moabit;2;D;25_30;3170;;;
1;Mitte;102;Moabit;2;D;30_35;2506;;;
1;Mitte;102;Moabit;2;D;35_40;1772;;;
1;Mitte;102;Moabit;2;D;40_45;1262;;;
1;Mitte;102;Moabit;2;D;45_50;1556;;;
1;Mitte;102;Moabit;2;D;50_55;1801;;;
1;Mitte;102;Moabit;2;D;55_60;1592;;;
1;Mitte;102;Moabit;2;D;60_65;1372;;;
1;Mitte;102;Moabit;2;D;65_70;1117;;;
1;Mitte;102;Moabit;2;D;70_75;814;;;
1;Mitte;102;Moabit;2;D;75_80;923;;;
1;Mitte;102;Moabit;2;D;80_85;575;;;
1;Mitte;102;Moabit;2;D;85_90;355;;;
1;Mitte;102;Moabit;2;D;90_95;146;;;
1;Mitte;102;Moabit;2;D;95_und_alter;47;
1;Mitte;103;Hansaviertel;1;A;00_05;16;;;
1;Mitte;103;Hansaviertel;1;A;05_10;12;;;
1;Mitte;103;Hansaviertel;1;A;10_15;9;;;
1;Mitte;103;Hansaviertel;1;A;15_20;19;;;
1;Mitte;103;Hansaviertel;1;A;20_25;220;;;
1;Mitte;103;Hansaviertel;1;A;25_30;198;;;
1;Mitte;103;Hansaviertel;1;A;30_35;138;;;
1;Mitte;103;Hansaviertel;1;A;35_40;81;;;
1;Mitte;103;Hansaviertel;1;A;40_45;61;;;
1;Mitte;103;Hansaviertel;1;A;45_50;63;;;
1;Mitte;103;Hansaviertel;1;A;50_55;43;;;
1;Mitte;103;Hansaviertel;1;A;55_60;23;;;
1;Mitte;103;Hansaviertel;1;A;60_65;21;;;
1;Mitte;103;Hansaviertel;1;A;65_70;21;;;
1;Mitte;103;Hansaviertel;1;A;70_75;12;;;
1;Mitte;103;Hansaviertel;1;A;75_80;10;;;
1;Mitte;103;Hansaviertel;1;A;80_85;9;;;
1;Mitte;103;Hansaviertel;1;D;00_05;83;;;
1;Mitte;103;Hansaviertel;1;D;05_10;69;;;
1;Mitte;103;Hansaviertel;1;D;10_15;70;;;
1;Mitte;103;Hansaviertel;1;D;15_20;63;;;
1;Mitte;103;Hansaviertel;1;D;20_25;115;;;
1;Mitte;103;Hansaviertel;1;D;25_30;134;;;
1;Mitte;103;Hansaviertel;1;D;30_35;130;;;
1;Mitte;103;Hansaviertel;1;D;35_40;128;;;
1;Mitte;103;Hansaviertel;1;D;40_45;96;;;
1;Mitte;103;Hansaviertel;1;D;45_50;149;;;
1;Mitte;103;Hansaviertel;1;D;50_55;193;;;
1;Mitte;103;Hansaviertel;1;D;55_60;151;;;
1;Mitte;103;Hansaviertel;1;D;60_65;125;;;
1;Mitte;103;Hansaviertel;1;D;65_70;148;;;
1;Mitte;103;Hansaviertel;1;D;70_75;145;;;
1;Mitte;103;Hansaviertel;1;D;75_80;121;;;
1;Mitte;103;Hansaviertel;1;D;80_85;64;;;
1;Mitte;103;Hansaviertel;1;D;85_90;21;;;
1;Mitte;103;Hansaviertel;1;D;90_95;21;;;
1;Mitte;103;Hansaviertel;2;A;00_05;10;;;
1;Mitte;103;Hansaviertel;2;A;05_10;3;;;
1;Mitte;103;Hansaviertel;2;A;10_15;10;;;
1;Mitte;103;Hansaviertel;2;A;15_20;11;;;
1;Mitte;103;Hansaviertel;2;A;20_25;200;;;
1;Mitte;103;Hansaviertel;2;A;25_30;185;;;
1;Mitte;103;Hansaviertel;2;A;30_35;93;;;
1;Mitte;103;Hansaviertel;2;A;35_40;72;;;
1;Mitte;103;Hansaviertel;2;A;40_45;29;;;
1;Mitte;103;Hansaviertel;2;A;45_50;48;;;
1;Mitte;103;Hansaviertel;2;A;50_55;37;;;
1;Mitte;103;Hansaviertel;2;A;55_60;42;;;
1;Mitte;103;Hansaviertel;2;A;60_65;31;;;
1;Mitte;103;Hansaviertel;2;A;65_70;18;;;
1;Mitte;103;Hansaviertel;2;A;70_75;21;;;
1;Mitte;103;Hansaviertel;2;A;75_80;9;;;
1;Mitte;103;Hansaviertel;2;A;80_85;9;;;
1;Mitte;103;Hansaviertel;2;D;00_05;66;;;
1;Mitte;103;Hansaviertel;2;D;05_10;57;;;
1;Mitte;103;Hansaviertel;2;D;10_15;61;;;
1;Mitte;103;Hansaviertel;2;D;15_20;60;;;
1;Mitte;103;Hansaviertel;2;D;20_25;97;;;
1;Mitte;103;Hansaviertel;2;D;25_30;108;;;
1;Mitte;103;Hansaviertel;2;D;30_35;94;;;
1;Mitte;103;Hansaviertel;2;D;35_40;89;;;
1;Mitte;103;Hansaviertel;2;D;40_45;99;;;
1;Mitte;103;Hansaviertel;2;D;45_50;130;;;
1;Mitte;103;Hansaviertel;2;D;50_55;144;;;
1;Mitte;103;Hansaviertel;2;D;55_60;119;;;
1;Mitte;103;Hansaviertel;2;D;60_65;145;;;
1;Mitte;103;Hansaviertel;2;D;65_70;145;;;
1;Mitte;103;Hansaviertel;2;D;70_75;153;;;
1;Mitte;103;Hansaviertel;2;D;75_80;135;;;
1;Mitte;103;Hansaviertel;2;D;80_85;107;;;
1;Mitte;103;Hansaviertel;2;D;85_90;60;;;
1;Mitte;103;Hansaviertel;2;D;90_95;34;;;
1;Mitte;103;Hansaviertel;2;D;95_und_alter;15;
1;Mitte;104;Tiergarten;1;A;00_05;81;;;
1;Mitte;104;Tiergarten;1;A;05_10;90;;;
1;Mitte;104;Tiergarten;1;A;10_15;63;;;
1;Mitte;104;Tiergarten;1;A;15_20;170;;;
1;Mitte;104;Tiergarten;1;A;20_25;437;;;
1;Mitte;104;Tiergarten;1;A;25_30;503;;;
1;Mitte;104;Tiergarten;1;A;30_35;375;;;
1;Mitte;104;Tiergarten;1;A;35_40;318;;;
1;Mitte;104;Tiergarten;1;A;40_45;250;;;
1;Mitte;104;Tiergarten;1;A;45_50;209;;;
1;Mitte;104;Tiergarten;1;A;50_55;159;;;
1;Mitte;104;Tiergarten;1;A;55_60;179;;;
1;Mitte;104;Tiergarten;1;A;60_65;91;;;
1;Mitte;104;Tiergarten;1;A;65_70;79;;;
1;Mitte;104;Tiergarten;1;A;70_75;40;;;
1;Mitte;104;Tiergarten;1;A;75_80;38;;;
1;Mitte;104;Tiergarten;1;A;80_85;21;;;
1;Mitte;104;Tiergarten;1;A;85_90;9;;;
1;Mitte;104;Tiergarten;1;A;90_95;9;;;
1;Mitte;104;Tiergarten;1;D;00_05;273;;;
1;Mitte;104;Tiergarten;1;D;05_10;212;;;
1;Mitte;104;Tiergarten;1;D;10_15;179;;;
1;Mitte;104;Tiergarten;1;D;15_20;201;;;
1;Mitte;104;Tiergarten;1;D;20_25;271;;;
1;Mitte;104;Tiergarten;1;D;25_30;368;;;
1;Mitte;104;Tiergarten;1;D;30_35;376;;;
1;Mitte;104;Tiergarten;1;D;35_40;332;;;
1;Mitte;104;Tiergarten;1;D;40_45;288;;;
1;Mitte;104;Tiergarten;1;D;45_50;335;;;
1;Mitte;104;Tiergarten;1;D;50_55;449;;;
1;Mitte;104;Tiergarten;1;D;55_60;382;;;
1;Mitte;104;Tiergarten;1;D;60_65;299;;;
1;Mitte;104;Tiergarten;1;D;65_70;257;;;
1;Mitte;104;Tiergarten;1;D;70_75;238;;;
1;Mitte;104;Tiergarten;1;D;75_80;176;;;
1;Mitte;104;Tiergarten;1;D;80_85;79;;;
1;Mitte;104;Tiergarten;1;D;85_90;33;;;
1;Mitte;104;Tiergarten;1;D;90_95;21;;;
1;Mitte;104;Tiergarten;1;D;95_und_alter;3;
1;Mitte;104;Tiergarten;2;A;00_05;73;;;
1;Mitte;104;Tiergarten;2;A;05_10;59;;;
1;Mitte;104;Tiergarten;2;A;10_15;66;;;
1;Mitte;104;Tiergarten;2;A;15_20;78;;;
1;Mitte;104;Tiergarten;2;A;20_25;360;;;
1;Mitte;104;Tiergarten;2;A;25_30;399;;;
1;Mitte;104;Tiergarten;2;A;30_35;293;;;
1;Mitte;104;Tiergarten;2;A;35_40;276;;;
1;Mitte;104;Tiergarten;2;A;40_45;180;;;
1;Mitte;104;Tiergarten;2;A;45_50;164;;;
1;Mitte;104;Tiergarten;2;A;50_55;117;;;
1;Mitte;104;Tiergarten;2;A;55_60;134;;;
1;Mitte;104;Tiergarten;2;A;60_65;98;;;
1;Mitte;104;Tiergarten;2;A;65_70;74;;;
1;Mitte;104;Tiergarten;2;A;70_75;40;;;
1;Mitte;104;Tiergarten;2;A;75_80;34;;;
1;Mitte;104;Tiergarten;2;A;80_85;31;;;
1;Mitte;104;Tiergarten;2;A;85_90;20;;;
1;Mitte;104;Tiergarten;2;A;90_95;6;;;
1;Mitte;104;Tiergarten;2;A;95_und_alter;3;
1;Mitte;104;Tiergarten;2;D;00_05;225;;;
